link,nces_id,link_proc
https://www.facebook.com/summithighschoolphx,0400386,summithighschoolphx
https://www.facebook.com/kayentaunified,0404060,kayentaunified
https://www.facebook.com/ednces/,0400317,ednces
https://www.facebook.com/khalsamontessoriphoenix/,0400069,khalsamontessoriphoenix
http://www.facebook.com/kusd20,0400295,kusd20
https://www.facebook.com/pages/la-tierra-community-school/200138856123,0400844,pages/la-tierra-community-school/200138856123
http://www.facebook.com/laveenschools,0404290,laveenschools
http://facebook.com/leading-edge-academy-334643867032104/?ref=bookmarks,0400395,leading-edge-academy-334643867032104
https://www.facebook.com/129800457039993,0400423,129800457039993
https://www.facebook.com/ltscg/,0400892,ltscg
https://www.facebook.com/legacytraditionalschools,0400899,legacytraditionalschools
https://www.facebook.com/ltsglendale/,0400948,ltsglendale
https://www.facebook.com/ltsnchandler,0400954,ltsnchandler
https://www.facebook.com/ltsqc/,0400927,ltsqc
https://www.facebook.com/lemanacademyofexcellence,0400944,lemanacademyofexcellence
https://www.facebook.com/libertyesd25,0404320,libertyesd25
https://www.facebook.com/liberty-traditional-school-676959275727022/?ref=bookmarks,0400190,liberty-traditional-school-676959275727022
https://www.facebook.com/lincolnpreparatoryacademy/,0400919,lincolnpreparatoryacademy
https://www.facebook.com/litchfield-elementary-school-district-209564742387300/,0404380,litchfield-elementary-school-district-209564742387300
https://www.facebook.com/mmacademyaz/,0400217,mmacademyaz
https://www.facebook.com/lesd65,0404440,lesd65
https://www.facebook.com/maineschool/?ref=hl,0404530,maineschool
https://www.facebook.com/mammoth-san-manuel-unified-school-district-438310293037606/?ref=settings,0404570,mammoth-san-manuel-unified-school-district-438310293037606
https://www.facebook.com/msmcommunityschools,0404570,msmcommunityschools
https://www.facebook.com/minerathletics/,0404570,minerathletics
https://www.facebook.com/maranaschools/,0404630,maranaschools
http://www.facebook.com/mcrsd509,0403860,mcrsd509
https://www.facebook.com/musd20/photos/pb.19666862332.-2207520000../10156935800552333/?type=3&theater,0404720,musd20/photos/pb.19666862332.-2207520000../10156935800552333
https://www.facebook.com/musd20/posts/10156074721172333,0404720,musd20/posts/10156074721172333
https://facebook.com/musd20,0404720,musd20
https://www.facebook.com/masada-charter-school-202717539797389,0400281,masada-charter-school-202717539797389
http://www.facebook.com/mpsaz,0404970,mpsaz
